,question,answer
26,Who is the production company of Mulan?,"The production company of Mulan is Wtfn.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
27,Who is the art director of Naruto The Movie Guardians Of The Crescent Moon Kingdom?,"The art director of Naruto The Movie Guardians Of The Crescent Moon Kingdom is Tomomichi Nishimura.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 3 support votes, 0 reject votes]"
28,What is the languages spoken written or signed of Nat Pendleton?,"Mirandese
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
29,What is the publication date of Nightjohn?,"The publication date of Nightjohn is 1996-06-01.
[Crowd, inter-rater agreement 0.236, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
30,What is the original language of the film English?,"The original language of English is Normal.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
31,What is the box office of Peaceful Warrior?,"The box office of Peaceful Warrior is 4300000.
[Crowd, inter-rater agreement 0.236, The answer distribution for this specific task was 3 support votes, 0 reject votes]"
32,What is the box office of Robocop 3?,"The box office of Robocop 3 is 10696220.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
33,What is the publication date of Scent Of A Woman?,"The publication date of Scent Of A Woman is 1982-01-01.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
34,What is the publication date of Sex Death And Bowling?,"The publication date of Sex Death And Bowling is 2015-01-05.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 3 support votes, 0 reject votes]"
35,What is the publication date of The Browning Version?,"The publication date of The Browning Version is 1951-01-01.
[Crowd, inter-rater agreement 0.236, The answer distribution for this specific task was 3 support votes, 0 reject votes]"
36,What is the publication date of The Candidate?,"The publication date of The Candidate is 2008-08-29.
[Crowd, inter-rater agreement 0.236, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
37,Who is the cast member The Hell Of 63 in Giuseppe Rinaldi?,"Giuseppe Rinaldi is a cast member of The Hell Of 63.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 3 support votes, 0 reject votes]"
38,What is the publication date of The Partys Just Beginning?,"The publication date of The Partys Just Beginning is 2019-02-24.
[Crowd, inter-rater agreement 0.236, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
39,What is the box office of The Princess And The Frog?,"The box office of The Princess And The Frog is 267000000.
[Crowd, inter-rater agreement 0.236, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
40,What is the box office of The Twilight Saga Eclipse?,"The box office of The Twilight Saga Eclipse is 698491348.
[Crowd, inter-rater agreement 0.236, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
41,What is the publication date of Tom Meets Zizou?,"The publication date of Tom Meets Zizou is 2011-01-01.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
42,What is the screenwriter of Top Gun Maverick?,"Ashley Miller
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
43,Who is the executive producer of Xmen First Class?,"The executive producer of Xmen First Class is Sheryl Lee Ralph.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
